DATE,TIME,DOY,HOUR,DST,X,Y
2020-01-01,12:00:00 AM,1.00,24:00:00,-6,0,-50
2020-01-01,1:00:00 AM,1.00,24:02:30,0,0,-50
2020-01-01,2:00:00 AM,1.00,24:05:00,4,0,-50
2020-01-01,3:00:00 AM,1.00,24:07:30,6,0,-50
2020-01-01,4:00:00 AM,1.00,24:10:00,8,0,-50
2020-01-01,5:00:00 AM,1.00,24:12:30,11,0,-50
2020-01-01,6:00:00 AM,1.00,24:15:00,12,0,-50
2020-01-01,7:00:00 AM,1.00,24:17:30,9,0,-50
2020-01-01,8:00:00 AM,1.00,24:20:00,5,0,-50
2020-01-01,9:00:00 AM,1.00,24:22:30,2,0,-50
2020-01-01,10:00:00 AM,1.00,24:25:00,2,0,-50
2020-01-01,11:00:00 AM,1.00,24:27:30,4,0,-50
2020-01-01,12:00:00 PM,1.00,24:30:00,4,0,-50
2020-01-01,1:00:00 PM,1.00,24:32:30,3,0,-50
2020-01-01,2:00:00 PM,1.00,24:35:00,4,0,-50
2020-01-01,3:00:00 PM,1.00,24:37:30,3,0,-50
2020-01-01,4:00:00 PM,1.00,24:40:00,-1,0,-50
2020-01-01,5:00:00 PM,1.00,24:42:30,-2,0,-50
2020-01-01,6:00:00 PM,1.00,24:45:00,-1,0,-50
2020-01-01,7:00:00 PM,1.00,24:47:30,2,0,-50
2020-01-01,8:00:00 PM,1.00,24:50:00,5,0,-50
2020-01-01,9:00:00 PM,1.00,24:52:30,6,0,-50
2020-01-01,10:00:00 PM,1.00,24:55:00,5,0,-50
2020-01-01,11:00:00 PM,1.00,24:57:30,4,0,-50
2020-01-02,12:00:00 AM,2.00,48:00:00,2,0,-50
2020-01-02,1:00:00 AM,2.00,48:02:30,5,0,-50
2020-01-02,2:00:00 AM,2.00,48:05:00,8,0,-50
2020-01-02,3:00:00 AM,2.00,48:07:30,8,0,-50
2020-01-02,4:00:00 AM,2.00,48:10:00,9,0,-50
